frame,timestamp,fish_y,sweet_y,distance,velocity,action,is_holding
5,1765649858.9245672,151,153,-2,0.06,RELEASE,False
10,1765649859.024531,152,153,-1,0.00,RELEASE,False
15,1765649859.1226926,152,154,-2,0.13,RELEASE,False
20,1765649859.2230275,151,154,-3,0.00,HOLD,True
25,1765649859.3254988,152,156,-4,0.53,HOLD,True
30,1765649859.4484293,151,157,-6,0.05,HOLD,True
35,1765649859.5584848,152,154,-2,-0.34,RELEASE,False
40,1765649859.6815045,151,150,1,-0.85,RELEASE,False
45,1765649859.8056583,151,145,6,-1.68,RELEASE,False
50,1765649859.9097488,151,142,9,-0.40,HOLD,True
55,1765649860.0123816,151,135,16,-1.17,HOLD,True
60,1765649860.1600118,152,128,24,-1.66,RELEASE,False
65,1765649860.2526312,152,128,24,-0.05,RELEASE,False
70,1765649860.3503213,152,133,19,1.44,HOLD,True
75,1765649860.4571295,151,139,12,1.36,HOLD,True
80,1765649860.5628254,151,144,7,1.26,HOLD,True
85,1765649860.6874187,151,152,-1,1.51,RELEASE,False
90,1765649860.8158882,152,158,-6,0.80,RELEASE,False
95,1765649860.921252,151,161,-10,0.65,RELEASE,False
100,1765649861.0283184,152,167,-15,1.24,HOLD,True
105,1765649861.121807,152,170,-18,0.69,HOLD,True
110,1765649861.236876,151,170,-19,-0.23,HOLD,True
115,1765649861.3408084,155,169,-14,-0.07,HOLD,True
120,1765649861.4376128,157,167,-10,-0.31,RELEASE,False
125,1765649861.5523224,160,165,-5,-0.54,HOLD,True
130,1765649861.6534567,162,160,2,-0.64,HOLD,True
135,1765649861.7777658,165,152,13,-1.80,RELEASE,False
140,1765649861.862476,167,147,20,-1.12,RELEASE,False
145,1765649861.9664001,169,145,24,-0.66,RELEASE,False
150,1765649862.0764747,172,147,25,0.73,RELEASE,False
155,1765649862.1592984,174,153,21,1.30,RELEASE,False
160,1765649862.2884555,176,165,11,1.82,RELEASE,False
165,1765649862.39133,178,177,1,1.99,RELEASE,False
170,1765649862.5048018,180,190,-10,2.56,RELEASE,False
175,1765649862.6148078,181,203,-22,2.67,HOLD,True
180,1765649862.7057703,183,211,-28,1.08,HOLD,True
185,1765649862.8269596,184,216,-32,0.57,HOLD,True
190,1765649862.9190419,185,216,-31,-0.08,HOLD,True
195,1765649863.0286806,185,209,-24,-1.97,HOLD,True
200,1765649863.1142936,186,200,-14,-1.91,RELEASE,False
205,1765649863.2307215,188,188,0,-2.72,RELEASE,False
210,1765649863.3303854,188,178,10,-0.90,HOLD,True
215,1765649863.4665642,189,167,22,-1.75,RELEASE,False
220,1765649863.5606766,188,161,27,-0.84,RELEASE,False
225,1765649863.6677003,190,161,29,0.10,RELEASE,False
230,1765649863.7477653,189,166,23,0.97,RELEASE,False
235,1765649863.8592591,190,174,16,1.25,RELEASE,False
240,1765649863.9737191,189,185,4,1.88,RELEASE,False
245,1765649864.062635,190,193,-3,1.12,HOLD,True
250,1765649864.1816628,189,204,-15,1.94,HOLD,True
255,1765649864.2854033,190,212,-22,1.40,HOLD,True
260,1765649864.3867612,189,215,-26,0.23,HOLD,True
265,1765649874.7443724,152,152,0,0.00,HOLD,True
270,1765649874.8491921,151,154,-3,0.28,HOLD,True
275,1765649874.9742756,152,156,-4,0.10,RELEASE,False
280,1765649875.073783,151,158,-7,0.10,HOLD,True
285,1765649875.1914718,152,156,-4,-0.75,HOLD,True
