frame,timestamp,fish_y,sweet_y,distance,velocity,action,is_holding
170,1765648891.3160782,200,135,65,1.26,RELEASE,False
175,1765648891.4121978,195,148,47,3.20,RELEASE,False
180,1765648891.5041382,180,172,8,4.57,HOLD,True
185,1765648891.5953705,186,188,-2,2.89,RELEASE,False
190,1765648891.703761,192,210,-18,5.18,HOLD,True
195,1765648891.7815244,194,221,-27,2.22,HOLD,True
200,1765648891.8916495,197,229,-32,1.57,HOLD,True
205,1765648892.0074172,197,233,-36,0.49,HOLD,True
210,1765648892.1216874,201,234,-33,0.39,HOLD,True
215,1765648892.1989152,200,229,-29,-1.30,HOLD,True
220,1765648892.2952838,203,220,-17,-2.23,HOLD,True
225,1765648892.3861012,202,207,-5,-1.57,HOLD,True
230,1765648892.4977665,203,188,15,-3.42,RELEASE,False
235,1765648892.6087425,202,172,30,-2.45,RELEASE,False
240,1765648892.698002,202,167,35,-0.48,RELEASE,False
245,1765648892.8097641,202,164,38,-0.23,RELEASE,False
250,1765648892.907833,202,166,36,0.62,RELEASE,False
255,1765648893.0126379,202,172,30,1.24,RELEASE,False
260,1765648893.135006,203,191,12,3.54,RELEASE,False
265,1765648893.217047,202,205,-3,3.74,HOLD,True
270,1765648893.3236978,203,222,-19,2.96,HOLD,True
275,1765648893.445133,202,234,-32,2.41,HOLD,True
280,1765648893.5483646,202,237,-35,0.42,HOLD,True
285,1765648893.651583,206,238,-32,0.08,HOLD,True
290,1765648893.7349362,213,233,-20,-1.78,HOLD,True
295,1765648893.846966,218,223,-5,-2.15,HOLD,True
300,1765648893.9483109,225,209,16,-1.50,RELEASE,False
305,1765648894.0601246,230,198,32,-2.39,RELEASE,False
310,1765648894.1691637,236,195,41,-0.76,RELEASE,False
315,1765648894.2734814,239,196,43,0.48,RELEASE,False
320,1765648894.385209,244,208,36,3.08,RELEASE,False
325,1765648894.4654255,248,217,31,2.50,RELEASE,False
330,1765648894.5577252,249,228,21,2.83,RELEASE,False
335,1765648894.6339555,251,249,2,3.49,HOLD,True
340,1765648894.7469275,254,249,5,0.11,RELEASE,False
345,1765648894.858311,254,249,5,0.00,RELEASE,False
350,1765648894.948967,256,249,7,0.00,RELEASE,False
355,1765648895.061119,255,249,6,0.00,RELEASE,False
360,1765648895.1640484,256,249,7,0.00,RELEASE,False
365,1765648895.2469883,255,249,6,0.00,RELEASE,False
370,1765648895.3512576,255,249,6,0.00,RELEASE,False
375,1765648895.4320889,255,249,6,0.00,RELEASE,False
380,1765648895.5389953,255,249,6,0.00,RELEASE,False
385,1765648895.656967,255,249,6,0.00,RELEASE,False
390,1765648895.7737207,255,249,6,0.00,RELEASE,False
395,1765648895.8740735,255,249,6,0.00,RELEASE,False
400,1765648895.96687,255,249,6,0.00,RELEASE,False
405,1765648896.0601995,255,249,6,0.00,RELEASE,False
410,1765648896.149168,255,249,6,0.00,RELEASE,False
415,1765648896.23382,255,249,6,0.00,RELEASE,False
420,1765648896.3342323,255,249,6,0.00,RELEASE,False
425,1765648896.4154925,255,249,6,0.00,RELEASE,False
430,1765648896.5274353,255,249,6,0.00,RELEASE,False
435,1765648896.6341014,187,249,-62,0.00,HOLD,True
440,1765648896.7581456,130,249,-119,0.00,HOLD,True
445,1765648896.86283,81,237,-156,-2.91,HOLD,True
450,1765648896.9495745,54,223,-169,-1.84,HOLD,True
455,1765648897.060762,34,197,-163,-4.21,HOLD,True
460,1765648897.1756976,26,170,-144,-4.29,HOLD,True
465,1765648897.276746,26,138,-112,-5.35,HOLD,True
470,1765648897.3955863,26,107,-81,-5.42,HOLD,True
475,1765648897.483242,26,83,-57,-3.79,HOLD,True
480,1765648897.6005716,23,74,-51,-0.40,HOLD,True
485,1765648897.698074,22,74,-52,-0.01,HOLD,True
490,1765648897.802604,22,74,-52,-0.00,HOLD,True
495,1765648897.8989968,24,74,-50,-0.00,HOLD,True
500,1765648898.0143607,25,74,-49,-0.00,HOLD,True
505,1765648898.1151278,27,74,-47,-0.00,HOLD,True
510,1765648898.2128735,27,74,-47,-0.00,HOLD,True
515,1765648898.3248866,28,74,-46,-0.00,HOLD,True
520,1765648898.4271748,29,74,-45,-0.00,HOLD,True
525,1765648898.541966,29,74,-45,-0.00,HOLD,True
530,1765648898.6655354,29,74,-45,-0.00,HOLD,True
535,1765648898.7760236,29,74,-45,-0.00,HOLD,True
540,1765648898.8794522,29,74,-45,-0.00,HOLD,True
545,1765648898.9724064,29,74,-45,-0.00,HOLD,True
550,1765648899.0503268,29,74,-45,-0.00,HOLD,True
555,1765648899.145817,29,74,-45,-0.00,HOLD,True
560,1765648899.251759,29,74,-45,-0.00,HOLD,True
565,1765648899.330831,28,74,-46,-0.00,HOLD,True
570,1765648899.4219635,28,74,-46,-0.00,HOLD,True
575,1765648899.5189476,27,74,-47,-0.00,HOLD,True
580,1765648899.6234171,26,74,-48,-0.00,HOLD,True
585,1765648899.720278,25,74,-49,-0.00,HOLD,True
590,1765648899.8098052,25,74,-49,-0.00,HOLD,True
595,1765648899.921596,24,74,-50,-0.00,HOLD,True
600,1765648900.0188763,25,74,-49,-0.00,HOLD,True
605,1765648900.1249914,23,74,-51,-0.00,HOLD,True
610,1765648900.247711,24,74,-50,-0.00,HOLD,True
615,1765648900.338444,24,74,-50,-0.00,HOLD,True
620,1765648900.4321415,24,74,-50,-0.00,HOLD,True
625,1765648900.5251803,24,74,-50,-0.00,HOLD,True
630,1765648900.636403,24,74,-50,-0.00,HOLD,True
635,1765648900.7131405,24,74,-50,-0.00,HOLD,True
640,1765648900.7896163,24,74,-50,-0.00,HOLD,True
645,1765648900.8996334,23,74,-51,-0.00,HOLD,True
650,1765648900.9779713,23,74,-51,-0.00,HOLD,True
655,1765648901.0888493,83,74,9,-0.00,RELEASE,False
660,1765648901.1649857,113,74,39,-0.00,RELEASE,False
665,1765648901.2622237,151,74,77,-0.00,RELEASE,False
670,1765648901.366327,176,70,106,-1.00,RELEASE,False
675,1765648901.4488375,190,86,104,3.88,RELEASE,False
680,1765648901.5531142,192,107,85,4.46,RELEASE,False
685,1765648901.6499672,192,128,64,4.55,RELEASE,False
690,1765648901.7562134,192,160,32,5.11,RELEASE,False
695,1765648901.8690178,191,188,3,6.38,HOLD,True
700,1765648901.9579606,192,213,-21,4.11,HOLD,True
705,1765648902.0687728,192,233,-41,4.07,HOLD,True
710,1765648902.1805613,197,250,-53,2.75,HOLD,True
715,1765648902.2909737,202,250,-48,0.09,HOLD,True
720,1765648902.3796306,205,250,-45,0.00,HOLD,True
725,1765648902.4759831,208,249,-41,-0.50,HOLD,True
730,1765648902.566443,212,237,-25,-2.36,HOLD,True
735,1765648902.6660619,213,223,-10,-3.14,RELEASE,False
740,1765648902.767065,216,203,13,-2.88,RELEASE,False
745,1765648902.8476596,217,195,22,-1.53,RELEASE,False
750,1765648902.9569051,219,186,33,-1.36,RELEASE,False
755,1765648903.0669608,220,185,35,-0.07,RELEASE,False
760,1765648903.1725261,220,187,33,0.31,RELEASE,False
765,1765648903.247604,221,193,28,0.95,RELEASE,False
770,1765648903.3317568,220,204,16,2.75,RELEASE,False
775,1765648903.4511383,220,223,-3,3.34,HOLD,True
780,1765648903.5336938,220,231,-11,1.79,HOLD,True
785,1765648903.6456363,220,245,-25,1.84,HOLD,True
790,1765648903.7335327,220,249,-29,0.21,HOLD,True
795,1765648903.8107362,220,249,-29,0.01,HOLD,True
800,1765648911.9410896,155,155,0,0.00,HOLD,True
805,1765648912.0427704,154,154,0,-0.12,HOLD,True
810,1765648912.1316538,154,155,-1,0.03,RELEASE,False
815,1765648912.2541711,154,156,-2,0.06,RELEASE,False
820,1765648912.3423297,154,157,-3,0.25,RELEASE,False
825,1765648912.4549336,154,161,-7,0.91,HOLD,True
830,1765648912.5474865,154,164,-10,0.68,HOLD,True
835,1765648912.64642,154,165,-11,-0.32,HOLD,True
840,1765648912.760134,154,162,-8,-0.57,RELEASE,False
845,1765648912.8644931,154,155,-1,-1.52,RELEASE,False
850,1765648912.9770637,154,149,5,-0.92,HOLD,True
855,1765648913.101565,155,144,11,-0.87,RELEASE,False
860,1765648913.2262154,154,142,12,-0.12,RELEASE,False
865,1765648913.3140202,155,146,9,0.71,RELEASE,False
870,1765648913.404116,154,152,2,2.71,HOLD,True
875,1765648913.5245886,155,159,-4,1.49,RELEASE,False
880,1765648913.6388335,154,170,-16,1.83,HOLD,True
885,1765648913.7144692,155,173,-18,0.46,HOLD,True
890,1765648913.83767,154,171,-17,-0.74,HOLD,True
895,1765648913.9506438,155,162,-7,-2.30,HOLD,True
900,1765648914.0773253,154,154,0,-2.07,HOLD,True
905,1765648914.166703,154,144,10,-1.16,RELEASE,False
910,1765648914.2492807,154,138,16,-0.94,RELEASE,False
915,1765648914.361793,155,137,18,0.31,RELEASE,False
920,1765648914.4772203,154,141,13,0.70,RELEASE,False
925,1765648914.5877104,155,150,5,1.58,RELEASE,False
930,1765648914.695488,154,164,-10,2.17,HOLD,True
935,1765648914.77801,154,171,-17,0.94,HOLD,True
940,1765648914.8739464,154,175,-21,0.50,HOLD,True
945,1765648914.9662073,154,174,-20,-0.23,HOLD,True
950,1765648915.0901325,154,166,-12,-2.07,HOLD,True
955,1765648915.1997557,155,152,3,-2.94,RELEASE,False
960,1765648915.2773259,155,144,11,-2.09,RELEASE,False
965,1765648915.3763328,155,134,21,-1.91,RELEASE,False
970,1765648915.4661517,155,129,26,-0.87,RELEASE,False
975,1765648915.56309,156,128,28,-0.09,RELEASE,False
980,1765648915.687915,155,134,21,1.53,RELEASE,False
985,1765648915.7828465,156,145,11,2.55,RELEASE,False
990,1765648915.8988566,155,159,-4,3.14,HOLD,True
995,1765648916.0001633,156,172,-16,2.91,HOLD,True
1000,1765648916.0902662,155,182,-27,2.09,HOLD,True
1005,1765648916.1871834,156,187,-31,0.60,HOLD,True
1010,1765648916.2779658,156,187,-31,-0.45,HOLD,True
1015,1765648916.3868952,155,183,-28,-1.01,HOLD,True
1020,1765648916.464182,156,174,-18,-1.84,HOLD,True
1025,1765648916.589888,155,162,-7,-2.68,HOLD,True
1030,1765648916.6803958,156,141,15,-1.80,RELEASE,False
1035,1765648916.8059578,155,122,33,-3.49,RELEASE,False
1040,1765648916.900779,155,113,42,-1.77,RELEASE,False
1045,1765648916.994818,155,110,45,-0.71,RELEASE,False
1050,1765648917.0840442,155,111,44,0.23,RELEASE,False
1055,1765648917.1659787,155,118,37,1.54,RELEASE,False
1060,1765648917.2589488,158,124,34,1.11,RELEASE,False
1065,1765648917.3487885,158,139,19,2.91,RELEASE,False
1070,1765648917.4453096,159,155,4,3.31,HOLD,True
1075,1765648917.5421693,162,171,-9,2.42,HOLD,True
1080,1765648917.6464033,162,183,-21,1.98,HOLD,True
1085,1765648917.7579663,164,189,-25,1.06,HOLD,True
1090,1765648917.882115,165,189,-24,-0.44,HOLD,True
1095,1765648917.9793618,167,183,-16,-1.51,HOLD,True
1100,1765648918.0941858,167,170,-3,-2.89,RELEASE,False
1105,1765648918.195929,169,159,10,-2.09,HOLD,True
1110,1765648928.6474702,155,155,0,0.00,RELEASE,False
1115,1765648928.7603483,154,156,-2,0.12,RELEASE,False
1120,1765648928.8778715,155,158,-3,0.38,HOLD,True
1125,1765648928.9838266,154,160,-6,0.54,HOLD,True
1130,1765648929.0966077,155,160,-5,0.02,HOLD,True
1135,1765648929.1924124,154,161,-7,0.28,RELEASE,False
1140,1765648929.3117888,155,162,-7,0.07,HOLD,True
1145,1765648929.3978639,154,160,-6,-0.28,RELEASE,False
1150,1765648929.5377557,155,156,-1,-1.54,RELEASE,False
1155,1765648929.6772714,155,154,1,-0.33,RELEASE,False
1160,1765648929.8098478,154,153,1,-0.04,HOLD,True
1165,1765648929.9262416,155,152,3,-0.03,HOLD,True
1170,1765648930.050441,154,150,4,-0.38,RELEASE,False
1175,1765648930.1649356,155,151,4,0.04,RELEASE,False
1180,1765648930.2649865,154,153,1,0.31,HOLD,True
1185,1765648930.3778274,154,155,-1,0.76,HOLD,True
1190,1765648930.48324,154,155,-1,0.02,HOLD,True
1195,1765648930.592443,154,153,1,-0.62,RELEASE,False
1200,1765648930.7034214,154,152,2,-0.27,RELEASE,False
1205,1765648930.780047,154,151,3,-0.04,RELEASE,False
1210,1765648930.9157622,155,153,2,0.62,HOLD,True
1215,1765648931.013207,155,154,1,0.52,HOLD,True
1220,1765648931.131854,149,154,-5,0.39,HOLD,True
1225,1765648931.2160926,137,155,-18,0.04,HOLD,True
1230,1765648931.312349,129,152,-23,-0.75,HOLD,True
1235,1765648931.4268665,119,141,-22,-1.99,HOLD,True
1240,1765648931.521719,113,130,-17,-2.12,HOLD,True
1245,1765648931.620047,107,109,-2,-4.57,RELEASE,False
1250,1765648931.721928,104,98,6,-1.77,HOLD,True
1255,1765648931.8247468,102,84,18,-1.71,RELEASE,False
1260,1765648931.94256,101,73,28,-1.27,RELEASE,False
1265,1765648932.040973,101,71,30,-0.32,RELEASE,False
1270,1765648932.1457202,101,73,28,0.30,RELEASE,False
1275,1765648932.241034,101,82,19,2.17,RELEASE,False
1280,1765648932.335476,101,95,6,2.76,HOLD,True
1285,1765648932.4256415,101,107,-6,3.05,HOLD,True
1290,1765648932.5380108,101,118,-17,1.97,HOLD,True
1295,1765648932.6261706,101,125,-24,0.97,HOLD,True
1300,1765648932.7348852,101,127,-26,0.31,HOLD,True
1305,1765648932.8434737,107,122,-15,-0.96,HOLD,True
1310,1765648932.9529662,114,112,2,-2.31,RELEASE,False
1315,1765648933.0617058,121,102,19,-1.92,RELEASE,False
1320,1765648933.1587207,126,98,28,-0.43,RELEASE,False
1325,1765648933.2519953,131,98,33,0.21,RELEASE,False
1330,1765648933.3607588,135,104,31,1.41,RELEASE,False
1335,1765648933.4732108,138,116,22,2.61,RELEASE,False
1340,1765648933.5764663,140,132,8,2.46,HOLD,True
1345,1765648933.689519,144,150,-6,2.95,RELEASE,False
1350,1765648933.7976754,145,168,-23,2.87,HOLD,True
1355,1765648933.8772206,146,176,-30,1.28,HOLD,True
1360,1765648933.9990058,145,181,-36,0.79,HOLD,True
1365,1765648934.0945585,145,181,-36,-0.04,HOLD,True
1370,1765648934.2150855,145,176,-31,-1.66,HOLD,True
1375,1765648934.325265,145,163,-18,-2.40,HOLD,True
1380,1765648934.4372885,145,146,-1,-3.67,RELEASE,False
1385,1765648934.5410655,145,130,15,-2.11,RELEASE,False
1390,1765648944.8600435,155,156,-1,0.50,HOLD,True
1395,1765648944.9833968,154,158,-4,0.77,HOLD,True
1400,1765648945.0916846,155,161,-6,0.40,HOLD,True
1405,1765648945.1929114,154,165,-11,0.86,HOLD,True
1410,1765648945.2792923,155,167,-12,0.12,HOLD,True
1415,1765648945.377603,154,166,-12,-0.25,HOLD,True
1420,1765648945.4855542,155,158,-3,-1.76,RELEASE,False
1425,1765648945.5872893,154,153,1,-0.93,RELEASE,False
1430,1765648945.685498,155,147,8,-1.03,RELEASE,False
1435,1765648945.780076,154,142,12,-0.94,RELEASE,False
1440,1765648945.8739574,154,143,11,0.47,RELEASE,False
1445,1765648945.9699047,155,147,8,1.20,RELEASE,False
1450,1765648946.077856,154,154,0,1.51,HOLD,True
1455,1765648946.190762,155,161,-6,1.55,HOLD,True
1460,1765648946.2989488,154,165,-11,0.70,HOLD,True
1465,1765648946.4208267,154,168,-14,0.24,HOLD,True
1470,1765648946.5202875,154,164,-10,-0.93,HOLD,True
1475,1765648946.6230142,155,157,-2,-1.50,HOLD,True
1480,1765648946.720294,154,150,4,-1.58,RELEASE,False
1485,1765648946.8360891,155,143,12,-1.58,RELEASE,False
1490,1765648946.9451048,162,137,25,-1.05,RELEASE,False
1495,1765648947.0311255,168,138,30,0.47,RELEASE,False
1500,1765648947.1361682,173,143,30,1.08,RELEASE,False
1505,1765648947.2522352,177,153,24,2.06,RELEASE,False
1510,1765648947.3621092,182,172,10,4.10,HOLD,True
1515,1765648947.482428,187,194,-7,4.07,HOLD,True
1520,1765648947.593164,190,205,-15,3.00,HOLD,True
1525,1765648947.686136,192,214,-22,1.41,HOLD,True
1530,1765648947.7998867,194,217,-23,0.45,HOLD,True
1535,1765648947.9064584,196,215,-19,-0.36,HOLD,True
1540,1765648947.995757,197,208,-11,-1.42,HOLD,True
1545,1765648948.1064517,198,194,4,-3.04,RELEASE,False
1550,1765648948.2161844,199,187,12,-0.69,RELEASE,False
1555,1765648948.3273554,200,182,18,-0.30,RELEASE,False
1560,1765648948.435549,199,185,14,1.12,RELEASE,False
1565,1765648948.543681,199,193,6,2.13,RELEASE,False
1570,1765648948.663514,199,202,-3,2.32,HOLD,True
1575,1765648948.7571466,199,207,-8,0.70,HOLD,True
1580,1765648948.8589897,199,212,-13,0.52,HOLD,True
1585,1765648948.965369,199,210,-11,-0.61,HOLD,True
1590,1765648949.0711396,199,204,-5,-1.14,RELEASE,False
1595,1765648949.1820874,199,198,1,-1.25,RELEASE,False
1600,1765648949.2736516,199,194,5,-0.51,RELEASE,False
1605,1765648949.3958979,199,188,11,-0.95,RELEASE,False
1610,1765648949.480886,199,184,15,-0.69,RELEASE,False
1615,1765648949.591217,199,186,13,0.60,RELEASE,False
1620,1765648949.7118688,199,194,5,1.64,RELEASE,False
1625,1765648949.82757,203,201,2,1.27,RELEASE,False
1630,1765648949.9498386,211,213,-2,2.13,HOLD,True
1635,1765648950.0640576,218,223,-5,2.00,HOLD,True
1640,1765648950.158847,223,231,-8,1.59,HOLD,True
1645,1765648950.260829,227,237,-10,1.14,HOLD,True
1650,1765648950.3789983,231,240,-9,0.82,HOLD,True
1655,1765648960.1245186,155,156,-1,0.25,RELEASE,False
1660,1765648960.2289116,154,158,-4,0.38,HOLD,True
1665,1765648960.3789425,154,160,-6,1.01,HOLD,True
1670,1765648960.4790285,154,162,-8,0.34,HOLD,True
1675,1765648960.5962043,154,165,-11,0.14,HOLD,True
1680,1765648960.708811,155,161,-6,-0.81,RELEASE,False
1685,1765648960.7986846,154,156,-2,-0.90,RELEASE,False
1690,1765648960.9019496,155,153,2,-0.25,HOLD,True
1695,1765648961.0121658,154,150,4,-0.41,RELEASE,False
1700,1765648961.1373827,155,149,6,-0.60,HOLD,True
1705,1765648961.2308667,154,147,7,-0.30,HOLD,True
1710,1765648961.339936,155,144,11,-1.13,RELEASE,False
1715,1765648961.4323363,154,141,13,-0.44,RELEASE,False
1720,1765648961.514729,154,142,12,0.24,RELEASE,False
1725,1765648961.627709,155,148,7,1.10,RELEASE,False
1730,1765648961.7336059,154,157,-3,1.82,HOLD,True
1735,1765648961.8425953,155,165,-10,1.37,HOLD,True
1740,1765648961.9610462,154,172,-18,1.07,HOLD,True
1745,1765648962.04722,155,173,-18,0.06,HOLD,True
1750,1765648962.1533105,154,168,-14,-0.97,HOLD,True
1755,1765648962.246423,155,158,-3,-1.94,RELEASE,False
1760,1765648962.3513813,154,150,4,-2.50,RELEASE,False
1765,1765648962.447077,155,139,16,-2.02,RELEASE,False
1770,1765648962.5379195,155,136,19,-0.72,RELEASE,False
1775,1765648962.662891,155,137,18,0.54,RELEASE,False
1780,1765648962.7653887,154,145,9,1.74,HOLD,True
1785,1765648962.8913066,155,153,2,1.46,HOLD,True
1790,1765648962.9965954,154,164,-10,1.70,RELEASE,False
1795,1765648963.0769444,154,170,-16,0.90,HOLD,True
1800,1765648963.197258,154,173,-19,0.25,HOLD,True
1805,1765648963.3075063,155,169,-14,-1.30,HOLD,True
1810,1765648963.4132411,154,161,-7,-1.63,HOLD,True
1815,1765648963.4953678,154,149,5,-1.86,HOLD,True
1820,1765648963.589885,154,139,15,-2.50,RELEASE,False
1825,1765648963.6809363,154,132,22,-1.23,RELEASE,False
1830,1765648963.7642124,154,130,24,-0.32,RELEASE,False
1835,1765648963.8751945,155,132,23,0.62,RELEASE,False
1840,1765648963.9912288,155,141,14,2.14,RELEASE,False
1845,1765648964.0907147,155,152,3,2.44,RELEASE,False
1850,1765648964.1951072,155,164,-9,2.26,HOLD,True
1855,1765648964.3132558,156,172,-16,1.70,HOLD,True
1860,1765648964.4165668,155,173,-18,0.08,HOLD,True
1865,1765648964.5236773,156,169,-13,-0.62,HOLD,True
1870,1765648964.6240947,155,159,-4,-2.14,RELEASE,False
1875,1765648964.736654,156,149,7,-2.00,HOLD,True
1880,1765648964.8529258,153,136,17,-2.38,RELEASE,False
1885,1765648964.9461203,152,130,22,-0.39,RELEASE,False
1890,1765648965.0796258,157,129,28,0.39,RELEASE,False
1895,1765648965.1799777,168,134,34,0.54,RELEASE,False
1900,1765648965.2779586,172,144,28,2.20,RELEASE,False
1905,1765648965.3960652,179,160,19,1.85,RELEASE,False
1910,1765648965.490207,186,178,8,2.59,HOLD,True
1915,1765648965.583117,192,196,-4,3.21,HOLD,True
