frame,timestamp,fish_y,sweet_y,distance,velocity,action,is_holding
5,1765648887.8890095,200,147,53,0.50,RELEASE,False
10,1765648888.0138285,199,155,44,1.80,RELEASE,False
15,1765648888.1143343,198,167,31,1.62,RELEASE,False
20,1765648888.2101448,198,183,15,3.93,RELEASE,False
25,1765648888.3135266,198,198,0,1.50,HOLD,True
30,1765648888.3984709,199,214,-15,2.30,HOLD,True
35,1765648888.5009162,199,250,-51,7.48,HOLD,True
40,1765648888.580658,199,250,-51,0.23,HOLD,True
45,1765648888.6903431,200,250,-50,0.01,HOLD,True
50,1765648888.7807622,200,225,-25,-3.87,HOLD,True
55,1765648888.8642924,200,217,-17,-1.81,HOLD,True
60,1765648888.968266,199,200,-1,-3.56,RELEASE,False
65,1765648889.080001,201,187,14,-3.42,RELEASE,False
70,1765648889.1905575,201,175,26,-2.54,RELEASE,False
75,1765648889.299045,201,169,32,-0.70,RELEASE,False
80,1765648889.379045,201,167,34,-0.12,RELEASE,False
85,1765648889.4908428,197,170,27,1.12,RELEASE,False
90,1765648889.5838041,199,175,24,0.79,RELEASE,False
95,1765648889.7055528,195,191,4,2.96,HOLD,True
100,1765648889.8017614,192,201,-9,1.28,RELEASE,False
105,1765648889.9069824,191,216,-25,2.23,HOLD,True
110,1765648890.0169663,193,225,-32,1.44,HOLD,True
115,1765648890.1084673,190,250,-60,3.05,HOLD,True
120,1765648890.2189918,188,250,-62,0.10,HOLD,True
125,1765648890.3298502,184,222,-38,-2.09,HOLD,True
130,1765648890.4515636,180,210,-30,-3.03,HOLD,True
135,1765648890.5647476,175,189,-14,-4.56,HOLD,True
140,1765648890.6560585,173,172,1,-3.83,RELEASE,False
145,1765648890.7787092,171,154,17,-2.40,RELEASE,False
150,1765648890.8781855,173,139,34,-2.36,RELEASE,False
155,1765648891.0030386,185,130,55,-1.82,RELEASE,False
160,1765648891.1007872,191,126,65,-0.43,RELEASE,False
165,1765648891.2136347,197,128,69,0.30,RELEASE,False
