frame,timestamp,fish_y,sweet_y,distance,velocity,action,is_holding
540,1765649170.6855187,240,244,-4,0.00,HOLD,True
545,1765649170.7911897,240,244,-4,0.00,HOLD,True
550,1765649170.9124994,240,244,-4,0.00,RELEASE,False
555,1765649171.0205045,240,244,-4,0.00,RELEASE,False
560,1765649171.1448505,240,250,-10,0.19,HOLD,True
565,1765649171.236016,240,248,-8,-0.09,HOLD,True
570,1765649171.3463907,240,244,-4,-0.94,RELEASE,False
575,1765649171.4578571,238,240,-2,-0.87,RELEASE,False
580,1765649171.572247,234,239,-5,-0.15,HOLD,True
585,1765649180.214165,156,155,1,-0.25,RELEASE,False
590,1765649180.316062,155,156,-1,0.12,RELEASE,False
595,1765649180.4169366,156,159,-3,0.69,RELEASE,False
600,1765649180.5082705,155,161,-6,0.21,HOLD,True
605,1765649180.6412516,156,163,-7,0.54,HOLD,True
610,1765649180.7569234,155,163,-8,0.02,HOLD,True
615,1765649180.8389025,156,160,-4,-0.78,RELEASE,False
620,1765649180.9526737,155,158,-3,-0.65,RELEASE,False
625,1765649181.0451188,156,159,-3,0.48,RELEASE,False
630,1765649181.1709192,155,160,-5,0.26,HOLD,True
635,1765649181.2553916,156,159,-3,-0.12,HOLD,True
640,1765649181.3799946,155,158,-3,-0.13,HOLD,True
645,1765649181.4824123,156,158,-2,-0.10,RELEASE,False
650,1765649181.59381,155,159,-4,0.50,RELEASE,False
655,1765649181.6895156,156,162,-6,0.45,RELEASE,False
660,1765649181.7960222,155,165,-10,0.89,HOLD,True
665,1765649181.9093528,143,166,-23,0.15,HOLD,True
670,1765649182.0073771,116,162,-46,-0.87,HOLD,True
675,1765649182.1222491,98,154,-56,-2.25,HOLD,True
680,1765649182.2119963,85,143,-58,-1.63,HOLD,True
685,1765649182.3241358,71,121,-50,-4.30,HOLD,True
690,1765649182.4223766,62,96,-34,-4.60,HOLD,True
695,1765649182.5106235,57,74,-17,-4.21,HOLD,True
700,1765649182.623094,53,74,-21,-0.13,HOLD,True
705,1765649182.7091594,52,74,-22,-0.00,HOLD,True
710,1765649182.809387,52,74,-22,-0.00,HOLD,True
715,1765649182.909419,52,74,-22,-0.00,HOLD,True
720,1765649182.9999042,53,74,-21,-0.00,HOLD,True
725,1765649183.098043,52,74,-22,-0.00,HOLD,True
730,1765649183.1969268,53,74,-21,-0.00,HOLD,True
735,1765649183.2986925,53,74,-21,-0.00,HOLD,True
